,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,315caadria2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Kuo-Chung Wen, Wei-Lung Chen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Application of Genetic Algorithms to Establish Flooding Evacuation Path Model in Metropolitan Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"CAADRIA 2004 [Proceedings of the 9th International Conference on Computer Aided Architectural Design Research in Asia / ISBN 89-7141-648-3] Seoul Korea 28-30 April 2004, pp. 557-570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"This research has shown the difficulties associated with the GIS and the flooding evacuation path search through the huge searching space generated during the network analysis process. This research also presents an approach to these problems by utilizing a search process whose concept is derived from natural genetics. Genetic algorithms (GAs) have been introduced in the optimization problem solving area by Holland (1975) and Goldberg (1989) and have shown their usefulness through numerous applications. We apply GA and GIS to choice flooding evacuation path in metropolitan area in this study. We take the region of Shiji city in Taiwan for case. That could be divided into four parts. First, is to set the population of GA operation. Second, is to choose crossover and mutation. Third, is to calculate the fitness function of each generation and to select the better gene arrangement. Fourth, is to reproduce, after evolution, we can establish Flooding Evacuation Path that more reflect really human action and choice when flood takes place. However we can apply GA to calculate different evacuation path in different time series. Final, we compare and establish real model of evacuation path model to choosing flooding evacuation path.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,CAADRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,wenkc@ms1.hinet.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"file.pdf (2,400,557 bytes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Content-type: text/plain




Details
Citation
Select





Anderson, M.D. and Souleyrette, R.R. (1996) 
 Geographic Information System-Based Transportation Forecast Model for Small Urbanized Area
, Transportation Research Records, n1551, pp.95-104







Blanco, A., Delgado, M. and Pegalajar, M.C. (2000) 
 A Genetic Algorithm to Obtain the Optimal Recurrent Neural Network
, International Journal of Approximate Reasoning, pp.67-83







Breaden, J.P. (1973) 
 The Generation of Flood Damage Time Sequences
, University of Kentucky Water Resources Institute Paper, NO.32







Bullock, G.N. (1995) 
 Developments in the use of the genetic algorithm in engineering design
, Design Studies, 16(pp.507-524)







Chan, K.C. and Tansri, H. (1994) 
 A Study of Genetic Crossover Operations on the Facilities Layout Problem
, Computers Ind. Engr. 26(3): 537-550







Djokie, D. and Maidment, D.R. (1996) 
 Application of GIS Network Rountines for Water Flow and Transport
, Journal of Water Resources Planning and Management, ASCE, 119(2): 229-241







Gen, M. and Miller, L. (1997) 
 Foundation of Genetic Algorithms
, Genetic Algorithms_ Engineering Design, pp.1-41







Gero, J.S., Ding, L. (1997) 
 Exploring Style Emergence in Architectural Designs
, CAADRIA 97; Proceedings of The Second Conference on Computer Aided Architectural Design Research in Asia. eds. Y-T Liu, J-Y Tsou, and J-H Hou. (pp.287-296)







Goldberg, D.E. (1989) 
 Genetic Algorithm in Search, Optimization and Machine Learning
, Addison Wesley, New York







Jo, Jun H., Gero, J.S. (1995) 
 A Genetic Search Approach to Space Layout Planning
, Architectural Science Review, Vol 38 (pp.37-46)







Li, Wei-Yi. (1997) 
 The layout of Taipei City planning disaster prevention system
, R.O.C. city planning academic association







Tanaboriboon, Y. and Guyano, J. (1989) 
 Level of Services Standards for Pedestrian Facilities in Bangkok: A Case Study
, ITE Journal, pp. 39-41







Wen, Kuo-Chung (2001) 
 A Study of Rules Producing in Layout Design: A Genetic Algorithm Approach
, Proceedings of 13th International Conference on Systems Research, Informatics and Cybernetics Special Focus Symposium on VIRTUAL REALITY & HITECH IN ARCHITECTURE (InterSymp2001), 30 July - 5 August 2001, Baden Baden, Germany







Woodbury, R.F. (1993) 
 A Genetic Approach to Creative Design
, Modeling Creativity and Knowledge-Based Creative Design; edits Gero, J.S. and Maher, M.L.( pp.211-232)







Zhang, Zhe-Hao. (2000) 
 Application of GIS to discusses flooding decentralization path in Shiji City
, The China geography information masters",,"Anderson, M.D. and Souleyrette, R.R. (1996) 
 Geographic Information System-Based Transportation Forecast Model for Small Urbanized Area
, Transportation Research Records, n1551, pp.95-104",,,,"Blanco, A., Delgado, M. and Pegalajar, M.C. (2000) 
 A Genetic Algorithm to Obtain the Optimal Recurrent Neural Network
, International Journal of Approximate Reasoning, pp.67-83",,,,"Breaden, J.P. (1973) 
 The Generation of Flood Damage Time Sequences
, University of Kentucky Water Resources Institute Paper, NO.32",,,,"Bullock, G.N. (1995) 
 Developments in the use of the genetic algorithm in engineering design
, Design Studies, 16(pp.507-524)",,,,"Chan, K.C. and Tansri, H. (1994) 
 A Study of Genetic Crossover Operations on the Facilities Layout Problem
, Computers Ind. Engr. 26(3): 537-550",,,,"Djokie, D. and Maidment, D.R. (1996) 
 Application of GIS Network Rountines for Water Flow and Transport
, Journal of Water Resources Planning and Management, ASCE, 119(2): 229-241",,,,"Gen, M. and Miller, L. (1997) 
 Foundation of Genetic Algorithms
, Genetic Algorithms_ Engineering Design, pp.1-41",,,,"Gero, J.S., Ding, L. (1997) 
 Exploring Style Emergence in Architectural Designs
, CAADRIA 97; Proceedings of The Second Conference on Computer Aided Architectural Design Research in Asia. eds. Y-T Liu, J-Y Tsou, and J-H Hou. (pp.287-296)",,,,"Goldberg, D.E. (1989) 
 Genetic Algorithm in Search, Optimization and Machine Learning
, Addison Wesley, New York",,,,"Jo, Jun H., Gero, J.S. (1995) 
 A Genetic Search Approach to Space Layout Planning
, Architectural Science Review, Vol 38 (pp.37-46)",,,,"Li, Wei-Yi. (1997) 
 The layout of Taipei City planning disaster prevention system
, R.O.C. city planning academic association",,,,"Tanaboriboon, Y. and Guyano, J. (1989) 
 Level of Services Standards for Pedestrian Facilities in Bangkok: A Case Study
, ITE Journal, pp. 39-41",,,,"Wen, Kuo-Chung (2001) 
 A Study of Rules Producing in Layout Design: A Genetic Algorithm Approach
, Proceedings of 13th International Conference on Systems Research, Informatics and Cybernetics Special Focus Symposium on VIRTUAL REALITY & HITECH IN ARCHITECTURE (InterSymp2001), 30 July - 5 August 2001, Baden Baden, Germany",,,,"Woodbury, R.F. (1993) 
 A Genetic Approach to Creative Design
, Modeling Creativity and Knowledge-Based Creative Design; edits Gero, J.S. and Maher, M.L.( pp.211-232)",,,,"Zhang, Zhe-Hao. (2000) 
 Application of GIS to discusses flooding decentralization path in Shiji City
, The China geography information masters",,
