,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,acadia19_130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Devadass, Pradeep; Heimig, Tobias; Stumm, Sven; Kerber, Ethan; Cokcan, Sigrid Brell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Robotic Constraints Informed Design Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"ACADIA 19:UBIQUITY AND AUTONOMY [Proceedings of the 39th Annual Conference of the Association for Computer Aided Design in Architecture (ACADIA) ISBN 978-0-578-59179-7] (The University of Texas at Austin School of Architecture, Austin, Texas 21-26 October, 2019) pp. 130-139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Promising results in efficiently producing highly complex non-standard designs have been accomplished by integrating robotic fabrication with parametric design. However, the project workflow is hampered due to the disconnect between designer and robotic fabricator. The design is most often developed by the designer independently from fabrication process constraints. This results in fabrication difficulties or even non manufacturable components. In this paper we explore the various constraints in robotic fabrication and assembly processes, analyze their influence on design, and propose a methodology which bridges the gap between parametric design and robotic production. Within our research we investigate the workspace constraints of robots, end effectors, and workpieces used for the fabrication of an experimental architectural project: The Twisted Arch. This research utilizes machine learning approaches to parameterize, quantify, and analyze each constraint while optimizing how those parameters impact the design output. The research
aims to offer a better planning to production process by providing continuous feedback to the designer during early stages of the design process. This leads to a well-informed manufacturable design.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Robotic Fabrication and Assembly, Mobile Robotics, Machine Learning, Parametric Design, Constraint Based Design.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ACADIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,normal paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,devadass@ip.rwth-aachen.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"file.pdf (4,336,169 bytes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
