,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,acadia20_102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Stojanovic, Djordje; Vujovic, Milica; Miloradovic, Branko",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Indoor Positioning System for Occupation Density Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"ACADIA 2020: Distributed Proximities / Volume I: Technical Papers [Proceedings of the 40th Annual Conference of the Association of Computer Aided Design in Architecture (ACADIA) ISBN 978-0-578-95213-0]. Online and Global. 24-30 October 2020. edited by B. Slocum, V. Ago, S. Doyle, A. Marcus, M. Yablonina, and M. del Campo. 102-109.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"The reported research focuses on occupational density as an increasingly important architectural measure and uses occupancy simulation to optimize distancing criteria imposed by the COVID-19 pandemic. The paper addresses the following questions: How to engage computational techniques (CTs) to improve the accuracy of two existing types of indoor positioning systems? How to employ simulation methods in establishing critical occupation density to balance social distancing needs and the efficient use of resources? The larger objective and the aim of further research is to develop an autonomous system capable of establishing an accurate number of people present in a room and informing occupants if space is available according to prescribed sanitary standards. The paper presents occupancy simulation approximating input that would be provided by the outlined multisensor data fusion technique aiming to improve the accuracy of the existing indoor localization solutions. The projected capacity to capture information related to social distancing and occupants positioning is used to ground a method for determining a room-specific occupational density threshold. Our early results indicate that the type of activities, equipment, and furniture in a room, addressed through occupants positioning, may impact the frequency of distancing incidents. Our initial findings centered on simulation modeling indicate that data, composed of the two sets (occupant count and the number of recorded distancing incidents) can be overlapped to help establish room-specific standards rather than apply generic measures. In conclusion, we discuss the opportunities and challenges of the proposed system and its role after the pandemic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ACADIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,d.s@unimelb.edu.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"file.pdf (2,197,564 bytes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
