,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,ascaad2021_022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Baºarir, Lale; Kutluhan Erol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Briefing AI: From Architectural Design Brief Texts to Architectural Design Sketches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Abdelmohsen, S, El-Khouly, T, Mallasi, Z and Bennadji, A (eds.), Architecture in the Age of Disruptive Technologies: Transformations and Challenges [9th ASCAAD Conference Proceedings ISBN 978-1-907349-20-1] Cairo (Egypt) [Virtual Conference] 2-4 March 2021, pp. 23-31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"The main focus of this research is to uncover the underlying intuitive knowledge of architecture with the help of machine learning models. To achieve this, a generic architectural design process is considered and divided into iterative portions based on their output for each phase. This study looks into the initial portion of the architectural design process called Briefing. The authors search for the intuition that exists within the design process and how it can be learned by artificial intelligence (AI) that is currently gained through master-apprentice relationship and experience that builds up this knowledge. In this study, a way to enable users to attain an architectural design sketch while defining an architectural design problem with text is explored. This on-going research decomposes the components of the briefing and preliminary design sketching processes. Therefore the domain knowledge at each phase is considered for translating to constraints via natural language processing (NLP) and machine learning (ML) models such as Generative Adversarial Networks (GANs).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ASCAAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,normal paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lale.basarir@ieu.edu.tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"file.pdf (531,825 bytes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Content-type: text/plain




Details
Citation
Select





Akin, O. And Lin, C. (1995) 
 Design protocol data and novel design decisions
, Design Studies 16(2), 211-236







Akin,O. And Center. Cmuedr (1987) 
 Expertise of the architect
, Carnegie Mellon University. Pittsburg, PA. EDRC-48-09-88.DOI: 10.1184/R1/6075785.v1







Bogers, T.,Van Meel, J.J.Andvan Der Voordt, T.J.M. (2008) 
 ""Architects about briefing: Recommendations to improve communication between clients and architects""
, Facilities, 26 (3/4), 109-116







Eastman, C. M. (1970) 
 ""On the analysis of intuitive design processes""
, Emerging Methods Environmental Design and Planning, Ed. G. T. Moore(MIT Press, Cambridge, Mass.), 21-37







Gero J.S. And Tang, H. (2001) 
 The differences between retrospective and concurrent protocols in revealing the process-oriented aspects of the design process
, Design Studies 22(3), 283-295







Goldschmidt, G. (1995) 
 Visual displays for design: Imagery, analogy and databases of visual images
, A. Koutamanis, H. Timmermans, I. Vermeulen (eds.). Visual Databases Architecture. Avebury:Aldershot, 53-76







Goodfellow, I., Pouget-Abadie, J., Mirza, M., Xu, B., Warde-Farley, D., Ozair, S., Courville, A., And Bengio, Y. (2014) 
 Generative adversarial nets
, Advances neural information processing systems,pp. 26722680







Kim Y. (2014) 
 Convolutional neural networks for sentence classification
, arXiv preprintarXiv:1408.5882







Luckman, J. (1967) 
 An approach to the management of design
, Operational Research Quarterly18(4), 345358







Oxman, R. (1995) 
 The reflective eye: Visual reasoning in design'
, A. Koutamanis, H. Timmermans, I. Vermeulen (eds.), Visual Databases Architecture, Avebury : Aldershot, 89-112







Reed, S., Akata, Z., Yan, X., Logeswaran, L., Schiele, And Lee, H. (2016) 
 Generative adversarial text-to-image synthesis
, ICML, 33 rd International Conference on Machine Learning,New York, NY, USA







Van Der Voordt, D.J.M. And Van Wegen, H.B.R. (2005) 
 Architecture in Use, An Introduction to the Programming, Design and Evaluation of Buildings
, Architectural Press, Oxford







Zhang X, Lecun Y. (2015) 
 Text understanding from scratch
, arXiv preprintarXiv:1502.01710







Zhang, H., Tao X. And Hongsheng L..Zhang, S., Xiaogang, W., Huang, X., Dimitris, M. (2017) 
 ""StackGAN: Text to Photo-Realistic Image Synthesis with Stacked Generative Adversarial Networks.
, 2017 IEEE International Conference on Computer Vision (ICCV): 5908-5916",,"Akin, O. And Lin, C. (1995) 
 Design protocol data and novel design decisions
, Design Studies 16(2), 211-236",,,,"Akin,O. And Center. Cmuedr (1987) 
 Expertise of the architect
, Carnegie Mellon University. Pittsburg, PA. EDRC-48-09-88.DOI: 10.1184/R1/6075785.v1",,,,"Bogers, T.,Van Meel, J.J.Andvan Der Voordt, T.J.M. (2008) 
 ""Architects about briefing: Recommendations to improve communication between clients and architects""
, Facilities, 26 (3/4), 109-116",,,,"Eastman, C. M. (1970) 
 ""On the analysis of intuitive design processes""
, Emerging Methods Environmental Design and Planning, Ed. G. T. Moore(MIT Press, Cambridge, Mass.), 21-37",,,,"Gero J.S. And Tang, H. (2001) 
 The differences between retrospective and concurrent protocols in revealing the process-oriented aspects of the design process
, Design Studies 22(3), 283-295",,,,"Goldschmidt, G. (1995) 
 Visual displays for design: Imagery, analogy and databases of visual images
, A. Koutamanis, H. Timmermans, I. Vermeulen (eds.). Visual Databases Architecture. Avebury:Aldershot, 53-76",,,,"Goodfellow, I., Pouget-Abadie, J., Mirza, M., Xu, B., Warde-Farley, D., Ozair, S., Courville, A., And Bengio, Y. (2014) 
 Generative adversarial nets
, Advances neural information processing systems,pp. 26722680",,,,"Kim Y. (2014) 
 Convolutional neural networks for sentence classification
, arXiv preprintarXiv:1408.5882",,,,"Luckman, J. (1967) 
 An approach to the management of design
, Operational Research Quarterly18(4), 345358",,,,"Oxman, R. (1995) 
 The reflective eye: Visual reasoning in design'
, A. Koutamanis, H. Timmermans, I. Vermeulen (eds.), Visual Databases Architecture, Avebury : Aldershot, 89-112",,,,"Reed, S., Akata, Z., Yan, X., Logeswaran, L., Schiele, And Lee, H. (2016) 
 Generative adversarial text-to-image synthesis
, ICML, 33 rd International Conference on Machine Learning,New York, NY, USA",,,,"Van Der Voordt, D.J.M. And Van Wegen, H.B.R. (2005) 
 Architecture in Use, An Introduction to the Programming, Design and Evaluation of Buildings
, Architectural Press, Oxford",,,,"Zhang X, Lecun Y. (2015) 
 Text understanding from scratch
, arXiv preprintarXiv:1502.01710",,,,"Zhang, H., Tao X. And Hongsheng L..Zhang, S., Xiaogang, W., Huang, X., Dimitris, M. (2017) 
 ""StackGAN: Text to Photo-Realistic Image Synthesis with Stacked Generative Adversarial Networks.
, 2017 IEEE International Conference on Computer Vision (ICCV): 5908-5916",,
