,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,ascaad2021_093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Alani, Mostafa; Bilal Al-Kaseem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Fill in the Blanks: Deep Convolutional Generative Adversarial Networks to Investigate the Virtual Design Space of Historical Islamic Patterns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Abdelmohsen, S, El-Khouly, T, Mallasi, Z and Bennadji, A (eds.), Architecture in the Age of Disruptive Technologies: Transformations and Challenges [9th ASCAAD Conference Proceedings ISBN 978-1-907349-20-1] Cairo (Egypt) [Virtual Conference] 2-4 March 2021, pp. 614-621",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"This paper presents a method to explore the virtual design space of historical Islamic Geometric Patterns (IGP). The introduced approach utilizes Deep Convolutional Generative Adversarial Network (DCGAN) to learn from historically existing hexagonal-based IGP to synthesis novel, authentically looking Geometric Patterns.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ASCAAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,mostafa.waleed@aliraqia.edu.iq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"file.pdf (666,907 bytes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Content-type: text/plain




Details
Citation
Select





Abas, S.J. And Salman, A.S. (1994) 
 Symmetries of Islamic geometrical patterns
, World Scientific







Alani, M.W. (2018) 
 Algorithmic investigation of the actual and virtual design space of historic hexagonal-based Islamic patterns
, International Journal of Architectural Computing, 16(1), pp.34-57







Deleuze, G. (1993) 
 The fold: Leibniz and the Baroque
, U of Minnesota Press







Deleuze, G. (1994) 
 Difference and repetition
, Columbia University Press







El-Said, Issam, Tarek El-Bouri, And Keith Critchlow. (1993) 
 Islamic art and architecture: the system of geometric design
, Garnet Pub Ltd







Goodfellow, I., Pouget-Abadie, J., Mirza, M., Xu, B., Warde-Farley, D., Ozair, S., Courville, A. And Bengio, Y. (2014) 
 Generative adversarial nets
, Advances neural information processing systems (pp. 2672-2680)







Oxman, R. And Oxman, R. (2014) 
 Theories of the Digital in Architecture (Vol. 99)
, Abingdon: Routledge







Terzidis, K. (2006) 
 Algorithmic architecture
, Routledge







Özdural, A. (1995) 
 Omar Khayyam, mathematicians, and ""conversazioni"" with artisans
, The Journal of the Society of Architectural Historians, 54(1), pp.54-71







Özdural, A. (2000) 
 Mathematics and arts: Connections between theory and practice in the medieval Islamic world
, Historia mathematica, 27(2), pp.171-201",,"Abas, S.J. And Salman, A.S. (1994) 
 Symmetries of Islamic geometrical patterns
, World Scientific",,,,"Alani, M.W. (2018) 
 Algorithmic investigation of the actual and virtual design space of historic hexagonal-based Islamic patterns
, International Journal of Architectural Computing, 16(1), pp.34-57",,,,"Deleuze, G. (1993) 
 The fold: Leibniz and the Baroque
, U of Minnesota Press",,,,"Deleuze, G. (1994) 
 Difference and repetition
, Columbia University Press",,,,"El-Said, Issam, Tarek El-Bouri, And Keith Critchlow. (1993) 
 Islamic art and architecture: the system of geometric design
, Garnet Pub Ltd",,,,"Goodfellow, I., Pouget-Abadie, J., Mirza, M., Xu, B., Warde-Farley, D., Ozair, S., Courville, A. And Bengio, Y. (2014) 
 Generative adversarial nets
, Advances neural information processing systems (pp. 2672-2680)",,,,"Oxman, R. And Oxman, R. (2014) 
 Theories of the Digital in Architecture (Vol. 99)
, Abingdon: Routledge",,,,"Terzidis, K. (2006) 
 Algorithmic architecture
, Routledge",,,,"Özdural, A. (1995) 
 Omar Khayyam, mathematicians, and ""conversazioni"" with artisans
, The Journal of the Society of Architectural Historians, 54(1), pp.54-71",,,,"Özdural, A. (2000) 
 Mathematics and arts: Connections between theory and practice in the medieval Islamic world
, Historia mathematica, 27(2), pp.171-201",,
10,2021/08/09 11:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
