,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,cf2019_040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Liao, Yu-Yi and Sheng-Fen Chien",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Investigating Audience Satisfaction Base on the Nonverbal Language Analysis of the Audience in Photos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Ji-Hyun Lee (Eds.) ""Hello, Culture!""  [18th International Conference, CAAD Futures 2019, Proceedings / ISBN 978-89-89453-05-5] Daejeon, Korea, pp. 317-330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"When we want to know satisfaction of audiences in a speech, the questionnaire survey is the most affordable method to collect quantitative data. However, the reliability and validity of the questionnaire is closely related to the design of the questions and the attitude of the respondents. Photos can capture nonverbal behaviors of the audience while listening to a speech. At that time, the audience did not hide their emotions. In this paper, we organize the photos of the three speeches hosted by the NCKU Art Center in 2016 as the data set. We found that the results of the behavioral analysis in photos are similar to the statistical results of the questionnaire. Finally, we made some suggestions for using the photos to analyze the nonverbal behavior of audiences and for establishing a database of nonverbal behaviors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Speech, nonverbal language analysis, audience satisfaction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CAAD Futures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,liao.yuyi@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"file.pdf (2,848,442 bytes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Content-type: text/plain




Details
Citation
Select





Bijlstra, G., Holland, R.W. and Wigboldus, D.H.J. (2010) 
 The social face of emotion recognition: Evaluations versus stereotypes
, Journal of Experimental Social Psychology, 46(4), 657-663 







Ekman, P. (2007) 
 Emotions Revealed: Recognizing Faces and Feelings to Improve Communication and Emotional Life
, Holt 







Gallo, C. (2014) 
 Talk Like TED: The 9 Public Speaking Secrets of the World's Top Minds
, St. Martins Press







Jack, R.E., Garrod, O.G.B. and Schyns, P.G. (2014) 
 Dynamic Facial Expressions of Emotion Transmit an Evolving Hierarchy of Signals over Time
, Current Biology, 24(2), 187-192 







King, P.E. and Behnke, R.R. (2009) 
 Patterns of state anxiety in listening performance
, Southern Communication Journal 70:1, 72-80 







Lopes, A.T., de Aguiar, E., De Souza, A.F. and Oliveira-Santos, T. (2017) 
 Facial expression recognition with Convolutional Neural Networks: Coping with few data and the training sample order
, Pattern Recognition, 61, 610-628 







MacLean, P.D. (1990) 
 The Triune Brain in Evolution: Role in Paleocerebral Functions
, Springer 







Mehrabian, A. (1981) 
 Silent Messages: Implicit Communication of Emotions and Attitudes
, 2nd edition, Wadsworth Publishing Company 







Morris, D. (1967) 
 The Naked Ape: A Zoologists Study of the Human Animal, McGraw-Hill
, New York







Navarro, J. and Karlins, M. (2008) 
 What Every Body Is Saying: An Ex-FBI Agents Guide to SpeedReading People
, William Morrow 







Schirmer, A. and Adolphs, R. (2017) 
 Emotion Perception from Face, Voice, and Touch: Comparisons and Convergence
, Trends in Cognitive Sciences, 21(3), 216-228 







Wood, A., Rychlowska, M., Korb, S. and Niedenthal, P. (2016) 
 Fashioning the Face: Sensorimotor Simulation Contributes to Facial Expression Recognition
, Trends in Cognitive Sciences, 20(3), 227-240",,"Bijlstra, G., Holland, R.W. and Wigboldus, D.H.J. (2010) 
 The social face of emotion recognition: Evaluations versus stereotypes
, Journal of Experimental Social Psychology, 46(4), 657-663",,,,"Ekman, P. (2007) 
 Emotions Revealed: Recognizing Faces and Feelings to Improve Communication and Emotional Life
, Holt",,,,"Gallo, C. (2014) 
 Talk Like TED: The 9 Public Speaking Secrets of the World's Top Minds
, St. Martins Press",,,,"Jack, R.E., Garrod, O.G.B. and Schyns, P.G. (2014) 
 Dynamic Facial Expressions of Emotion Transmit an Evolving Hierarchy of Signals over Time
, Current Biology, 24(2), 187-192",,,,"King, P.E. and Behnke, R.R. (2009) 
 Patterns of state anxiety in listening performance
, Southern Communication Journal 70:1, 72-80",,,,"Lopes, A.T., de Aguiar, E., De Souza, A.F. and Oliveira-Santos, T. (2017) 
 Facial expression recognition with Convolutional Neural Networks: Coping with few data and the training sample order
, Pattern Recognition, 61, 610-628",,,,"MacLean, P.D. (1990) 
 The Triune Brain in Evolution: Role in Paleocerebral Functions
, Springer",,,,"Mehrabian, A. (1981) 
 Silent Messages: Implicit Communication of Emotions and Attitudes
, 2nd edition, Wadsworth Publishing Company",,,,"Morris, D. (1967) 
 The Naked Ape: A Zoologists Study of the Human Animal, McGraw-Hill
, New York",,,,"Navarro, J. and Karlins, M. (2008) 
 What Every Body Is Saying: An Ex-FBI Agents Guide to SpeedReading People
, William Morrow",,,,"Schirmer, A. and Adolphs, R. (2017) 
 Emotion Perception from Face, Voice, and Touch: Comparisons and Convergence
, Trends in Cognitive Sciences, 21(3), 216-228",,,,"Wood, A., Rychlowska, M., Korb, S. and Niedenthal, P. (2016) 
 Fashioning the Face: Sensorimotor Simulation Contributes to Facial Expression Recognition
, Trends in Cognitive Sciences, 20(3), 227-240",,
