,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,"Naticchia, Berardo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Physical Knowledge in Patterns: Bayesian Network Models for Preliminary Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Architectural Computing from Turing to 2000 [eCAADe Conference Proceedings / ISBN 0-9523687-5-7] Liverpool (UK) 15-17 September 1999, pp. 611-619",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Computer applications in design have pursued two main development directions: analytical modelling and information technology. The former line has produced a large number of tools for reality simulation (i.e. finite element models), the latter is producing an equally large amount of advances in conceptual design support (i.e. artificial intelligence tools). Nevertheless we can trace rare interactions between computation models related to those different approaches. This lack of integration is the main reason of the difficulty of CAAD application to the preliminary stage of design, where logical and quantitative reasoning are closely related in a process that we often call 'qualitative evaluation'. This paper briefly surveys the current development of qualitative physical models applied in design and propose a general approach for modelling physical behaviour by means of Bayesian network we are employing to develop a tutoring and coaching system for natural ventilation preliminary design of halls, called VENTPad. This tool explores the possibility of modelling the causal mechanism that operate in real systems in order to allow a number of integrated logical and quantitative inference about the fluid-dynamic behaviour of an hall. This application could be an interesting connection tool between logical and analytical procedures in preliminary design aiding, able to help students or unskilled architects, both to guide them through the analysis process of numerical data (i.e. obtained with sophisticate Computational Fluid Dynamics software) or experimental data (i.e. obtained with laboratory test models) and to suggest improvements to the design.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Qualitative Physical Modelling, Preliminary Design, Bayesian Networks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,eCAADe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Naticchia@idau.unian.it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"file.pdf (1,647,218 bytes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Content-type: text/plain




Details
Citation
Select





Awbi, H.B. and Gan, G. (1994) 
 Predicting air flow ande thermal comfort in offices
, ASHRAE Journal, February, 17-21







Awbi, H.B. (1991) 
 Ventilation of Buildings
, E&FN Spon, London







Bobrow, D. (1984) 
 Qualitative reasoning about physical systems
, MIT Press, Cambridge







Charniak, E. and Goldman, R. (1989) 
 Plan Recognition in Stories and in Life
, Proceedings of the Fifth Workshop on Uncertainty in Artificial Intelligence, 5460. Mountain View, CA







Charniak, E. and Goldman, R. (1989) 
 A Semantics for Probabilistic Quantifier-Free First-Order Languages with Particular Application to Story Understanding
, Proceedings of the Eleventh International Joint Conference on Artificial Intelligence, 10741079. Menlo Park, CA







De Kleer, J. (1975) 
 Qualitative and quantitative knowledge in classical mechanics
, TR-352, MIT AI Lab, Cambridge, Mass







Dean, T. (1990) 
 Coping with Uncertainty in a Control System for Navigation and Exploration
, Proceedings of the Ninth National Conference on Artificial Intelligence, 10101015. Menlo Park, CA







Gan, G. (1996) 
 Effect of combined heat and moisture transfer on the predicted thermal environment
, Indoor+Built Environment, Vol 5 N°3, 170-180







Gentner, D. and Stevens, A. (1983) 
 Mental Models
, Erlbaum Associates, Hillsdale, N.J.. 







Heckerman, D., Horvitz, E. and Nathwani, B. (1992) 
 Toward normative expert systems. Part I: The Pathfinder project
, Methods of Information in Medicine, Vol. 31. pp. 90-105







Jensen, F.V. (1996) 
 An Introduction to Bayesian Networks
, Springer, New York







Naticchia, B. (1999) 
 Diagnosing aged housing defects: A bayesian network approach for reliability of rehabilitation effects
, XXVII IAHS World Congress on Housing, San Francisco







Naticchia, B. (1999) 
 Qualitative simulation for assessment of chemical-physical compatibility among building components
, Proceedings of the 8 th International Conference on Durability of Building Materials and Components, Vancouver







Pearl, J. (1988) 
 Probabilistic Reasoning in Intelligence Systems. Morgan Kaufmann, San Mateo, CA
, 







Pearl, J. (1996) 
 Causation, action, and counterfactuals
, Y. Shoham, editor, Theoretical Aspects of Rationality and Knowledge, Proceedings of the Sixth Conference, pp. 51-73 Morgan Kaufmann, San Francisco, CA. 







Shachter, R.D. (1990) 
 Special issue on influence diagrams. 
, Networks: An International Journal, Vol. 20 5







Spiegelhalter, D., Franklin, R. and Bull, K. (1989) 
 Assessment Criticism and Improvement of Imprecise Subjective Probabilities for a Medical Expert System
, Proceedings of the Fifth Workshop on Uncertainty in Artificial Intelligence , 335342. Mountain View, CA







Spirtes, P., Glymour, C. and Schienes, R. (1993) 
 Causation, Prediction, and Search
, Springer-Verlag, New York",,"Awbi, H.B. and Gan, G. (1994) 
 Predicting air flow ande thermal comfort in offices
, ASHRAE Journal, February, 17-21",,,,"Awbi, H.B. (1991) 
 Ventilation of Buildings
, E&FN Spon, London",,,,"Bobrow, D. (1984) 
 Qualitative reasoning about physical systems
, MIT Press, Cambridge",,,,"Charniak, E. and Goldman, R. (1989) 
 Plan Recognition in Stories and in Life
, Proceedings of the Fifth Workshop on Uncertainty in Artificial Intelligence, 5460. Mountain View, CA",,,,"Charniak, E. and Goldman, R. (1989) 
 A Semantics for Probabilistic Quantifier-Free First-Order Languages with Particular Application to Story Understanding
, Proceedings of the Eleventh International Joint Conference on Artificial Intelligence, 10741079. Menlo Park, CA",,,,"De Kleer, J. (1975) 
 Qualitative and quantitative knowledge in classical mechanics
, TR-352, MIT AI Lab, Cambridge, Mass",,,,"Dean, T. (1990) 
 Coping with Uncertainty in a Control System for Navigation and Exploration
, Proceedings of the Ninth National Conference on Artificial Intelligence, 10101015. Menlo Park, CA",,,,"Gan, G. (1996) 
 Effect of combined heat and moisture transfer on the predicted thermal environment
, Indoor+Built Environment, Vol 5 N°3, 170-180",,,,"Gentner, D. and Stevens, A. (1983) 
 Mental Models
, Erlbaum Associates, Hillsdale, N.J..",,,,"Heckerman, D., Horvitz, E. and Nathwani, B. (1992) 
 Toward normative expert systems. Part I: The Pathfinder project
, Methods of Information in Medicine, Vol. 31. pp. 90-105",,,,"Jensen, F.V. (1996) 
 An Introduction to Bayesian Networks
, Springer, New York",,,,"Naticchia, B. (1999) 
 Diagnosing aged housing defects: A bayesian network approach for reliability of rehabilitation effects
, XXVII IAHS World Congress on Housing, San Francisco",,,,"Naticchia, B. (1999) 
 Qualitative simulation for assessment of chemical-physical compatibility among building components
, Proceedings of the 8 th International Conference on Durability of Building Materials and Components, Vancouver",,,,"Pearl, J. (1988) 
 Probabilistic Reasoning in Intelligence Systems. Morgan Kaufmann, San Mateo, CA
,",,,,"Pearl, J. (1996) 
 Causation, action, and counterfactuals
, Y. Shoham, editor, Theoretical Aspects of Rationality and Knowledge, Proceedings of the Sixth Conference, pp. 51-73 Morgan Kaufmann, San Francisco, CA.",,,,"Shachter, R.D. (1990) 
 Special issue on influence diagrams. 
, Networks: An International Journal, Vol. 20 5",,,,"Spiegelhalter, D., Franklin, R. and Bull, K. (1989) 
 Assessment Criticism and Improvement of Imprecise Subjective Probabilities for a Medical Expert System
, Proceedings of the Fifth Workshop on Uncertainty in Artificial Intelligence , 335342. Mountain View, CA",,,,"Spirtes, P., Glymour, C. and Schienes, R. (1993) 
 Causation, Prediction, and Search
, Springer-Verlag, New York",,
