,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,"Brusasco, Pio Luigi and Caneparo, Luca",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Coordinative Model of Design and Building Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Multimedia and Architectural Disciplines [Proceedings of the 13th European Conference on Education in Computer Aided Architectural Design in Europe / ISBN 0-9523687-1-4] Palermo (Italy) 16-18 November 1995, pp. 297-306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"The paper presents a coordinative model of the design and building process. It is divided into three main sections. The first presents a brief formalization of the model and of its representations, respectively the argumentative, rhetorical and semantic graphs. The second introduces the framework adopted for the development of the model, and describes the two main sub- systems: communicative and coordinative. The third presents the computer implementation, based on the Client,/Client model for the communicative system and on the Client/Server for the coordinative system.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,eCAADe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,luca.caneparo@polito.it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,http://dpce.ing.unipa.it/Webshare/Wwwroot/ecaade95/Pag_36.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"file.pdf (663,873 bytes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Content-type: text/plain




Details
Citation
Select





Caneparo, L. (1994) 
 Groupware and Design Education in Architecture
, Proceedings. Saint Louis: ACADIA94 Conference







Doyle, M. and Strauss, D. (1976) 
 How to make meetings work
, New York: Jove







Flores, F. (1992) 
 Offering new principles for a shift business world
, Report, Business Design Associates. 







Kunz, W. and Rittel, H. (1970) 
 Issues as Elements of Information Systems
, Working paper 131. Stuttgart: Institut fur Grundlagen der Planung, Universitaet Stuttgart. 







Maggiora, G., Brusasco, P.L. and Caneparo, L. (1995) 
 Semiotics of Computer Media in Architecture
, Proceedings. Kassel: Semiotics of the Media Conference







Microsoft (1991) 
 Microsoft Windows User s Guide Version 3.1.
, Redmond: Microsoft Corp.







Ritter, H. and Kohonen, T. (1989) 
 Self-organization Semantic Maps
, Biological Cybernetics, no, 61







Wilke, P., Rehder, J., Billing, G. and Nilson, J. (1995) 
 NeuroGraph - a simulation environment for neural networks, genetic algorithms and fuzzy logic
, Proceedings. Ales: ICANNGA 95 Conference







Winograd, T. and Flores, F. (1986) 
 Understanding Computers and Cognition: A New Foundation for Design
, Norwood: Ablex Publ.







Zenie, A. and Volta, G. (1993) 
 Cooperative Work Processes Analysis in View of Appropriate Groupware Selection
, Technical Report 2445. Joint Research Centre",,"Caneparo, L. (1994) 
 Groupware and Design Education in Architecture
, Proceedings. Saint Louis: ACADIA94 Conference",,,,"Doyle, M. and Strauss, D. (1976) 
 How to make meetings work
, New York: Jove",,,,"Flores, F. (1992) 
 Offering new principles for a shift business world
, Report, Business Design Associates.",,,,"Kunz, W. and Rittel, H. (1970) 
 Issues as Elements of Information Systems
, Working paper 131. Stuttgart: Institut fur Grundlagen der Planung, Universitaet Stuttgart.",,,,"Maggiora, G., Brusasco, P.L. and Caneparo, L. (1995) 
 Semiotics of Computer Media in Architecture
, Proceedings. Kassel: Semiotics of the Media Conference",,,,"Microsoft (1991) 
 Microsoft Windows User s Guide Version 3.1.
, Redmond: Microsoft Corp.",,,,"Ritter, H. and Kohonen, T. (1989) 
 Self-organization Semantic Maps
, Biological Cybernetics, no, 61",,,,"Wilke, P., Rehder, J., Billing, G. and Nilson, J. (1995) 
 NeuroGraph - a simulation environment for neural networks, genetic algorithms and fuzzy logic
, Proceedings. Ales: ICANNGA 95 Conference",,,,"Winograd, T. and Flores, F. (1986) 
 Understanding Computers and Cognition: A New Foundation for Design
, Norwood: Ablex Publ.",,,,"Zenie, A. and Volta, G. (1993) 
 Cooperative Work Processes Analysis in View of Appropriate Groupware Selection
, Technical Report 2445. Joint Research Centre",,
10,2003/05/16 19:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
