,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,ecaade2007_012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Benoudjit, Moamed Amine; Coates, Paul S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Artificial Networks for Spatial Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Predicting the Future [25th eCAADe Conference Proceedings / ISBN 978-0-9541183-6-5] Frankfurt am Main (Germany) 26-29 September 2007, pp. 911-918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"The present paper aims to present a summary of my ongoing PhD research, which is concerned with the study of the possibilities of developing an analytical and design tool based on artificial neural networks (ANN) and other Artificial Intelligence (AI) and connectionist algorithms.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Space, classification, artificial neural networks, cellular automata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,eCAADe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"compte_amine@hotmail.com, p.s.coates@uel.ac.uk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"file.pdf (2,244,330 bytes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Content-type: text/plain




Details
Citation
Select





Benoudjit, M. A. and Coates, P. (2006) 
 Human perception and space classification: The cognitive network
, Proceeding of the DCC06, The Design, Computing and Cognition conference 2006







Benoudjit, M. A., Coates, P. and Derix, C. (2004) 
 Human perception and space classification: The perceptive network
, Proceeding of the GA2004, The Generative Art 2004 Conference, Volume 2, pp. 107-123







Fausett, L. (1994) 
 Fundamental of neural networks: Architectures, Algorithms and Applications
, Prentice-Hall, USA







Gibson, J. J. (1979) 
 The ecological approach to the visual perception
, Houghton Mifflin, Boston, USA







Hanna, S. (2006) 
 Representing style by feature space archetype
, Proceeding of the DCC06, The Design, Computing and Cognition conference 2006, pp. 3-21







Hillier, B. (1989) 
 The social logic of space
, Cambridge University Press, London, UK







Kohonen, T. (2001) 
 Self-organizing maps
, Springer, Germany







Lefebvre, H. translated by Smith D. N. (1991) 
 The production of space
, Blackwell Publishers, UK







McCulloch, W. and Pitts, W. (1943) 
 A logical calculus of the ideas immanent in nervous activity
, Bulletin of Mathematical Biophysics, Volume 5, pp. 115-133







Peng, L. W. and Shamsuddin, S. M. (2004) 
 3D Object Reconstruction and Representation Using Neural Networks
, The Association of Computing Machinery AMC 2004, pp. 139-147







Wolfram, S. (2002) 
 A New Kind of Science
, Wolfram Media, Champaign, IL







Zalzala, A. M. S. and Morris, A. S (1996) 
 Neural networks for robotic control: Theory and applications
, Great Britain, Hartnolls Limited",,"Benoudjit, M. A. and Coates, P. (2006) 
 Human perception and space classification: The cognitive network
, Proceeding of the DCC06, The Design, Computing and Cognition conference 2006",,,,"Benoudjit, M. A., Coates, P. and Derix, C. (2004) 
 Human perception and space classification: The perceptive network
, Proceeding of the GA2004, The Generative Art 2004 Conference, Volume 2, pp. 107-123",,,,"Fausett, L. (1994) 
 Fundamental of neural networks: Architectures, Algorithms and Applications
, Prentice-Hall, USA",,,,"Gibson, J. J. (1979) 
 The ecological approach to the visual perception
, Houghton Mifflin, Boston, USA",,,,"Hanna, S. (2006) 
 Representing style by feature space archetype
, Proceeding of the DCC06, The Design, Computing and Cognition conference 2006, pp. 3-21",,,,"Hillier, B. (1989) 
 The social logic of space
, Cambridge University Press, London, UK",,,,"Kohonen, T. (2001) 
 Self-organizing maps
, Springer, Germany",,,,"Lefebvre, H. translated by Smith D. N. (1991) 
 The production of space
, Blackwell Publishers, UK",,,,"McCulloch, W. and Pitts, W. (1943) 
 A logical calculus of the ideas immanent in nervous activity
, Bulletin of Mathematical Biophysics, Volume 5, pp. 115-133",,,,"Peng, L. W. and Shamsuddin, S. M. (2004) 
 3D Object Reconstruction and Representation Using Neural Networks
, The Association of Computing Machinery AMC 2004, pp. 139-147",,,,"Wolfram, S. (2002) 
 A New Kind of Science
, Wolfram Media, Champaign, IL",,,,"Zalzala, A. M. S. and Morris, A. S (1996) 
 Neural networks for robotic control: Theory and applications
, Great Britain, Hartnolls Limited",,
11,2007/09/16 15:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
