,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,ecaadesigradi2019_538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Wu, Ngai Hang, Dimopoulou, Marina, Hsieh, Han Hsun and Chatzakis, Christos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Rawbot - A digital system for AR fabrication of bamboo structures through the discrete digitization of bamboo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Sousa, JP, Xavier, JP and Castro Henriques, G (eds.), Architecture in the Age of the 4th Industrial Revolution - Proceedings of the 37th eCAADe and 23rd SIGraDi Conference - Volume 2, University of Porto, Porto, Portugal, 11-13 September 2019, pp. 161-170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"This paper presents the developments of a method to assemble bamboo poles through mobile algorithmic instructions, based on material analysis, machine learning procedures and applied augmented reality. The methods were evaluated in a series of tests where the trained system was successfully used to propose structurally sound aggregations, according to the given resources. The results suggest potential benefits for completion of house-scale assemblies by untrained users through automated tools.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Machine Learning; Object Recognition; Augmented Reality; Digital Fabrication; Discrete Digitization; Bamboo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,eCAADeSIGraDi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,wucharleswu@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"file.pdf (17,729,071 bytes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Content-type: text/plain




Details
Citation
Select





Burnett, R (2004) 
 How Images Think
, MIT Press







Gandhi, R (2018) 
 R-CNN, Fast R-CNN, Faster R-CNN, YOLO - Object Detection Algorithms
, Towards Data Science, 1, p. 1







Hartley, J (2017) 
 The Emerging Markets Housing Bubble
, Huffpost, 1, p. 1







Lorenzo, R (2017) 
 BIM Bamboo: a digital design framework for bamboo culms
, ICE Publishing, London







Naik, N (2015) 
 How to use computer vision to improve cities
, Ph.D. Thesis, MIT Media Lab







Rose, J (1974) 
 The Cybernetic Revolution
, Paul Elek (Scientific Books) Ltd.







Rudofsky, B (1987) 
 Architecture without Architects: A Short Introduction to Non-Pedigreed Architecture
, University of New Mexico Press







Schröder, S (2009) 
 Bamboo Joints and Joinery Techniques
, Guadua Bamboo, 1, p. 1







van der Lugt, P (2017) 
 Booming Bamboo
, Publisher Materia, London







Witt, A (2017) 
 The Machinic Animal, When is the Digital in Architecture
, Sternberg Press",,"Burnett, R (2004) 
 How Images Think
, MIT Press",,,,"Gandhi, R (2018) 
 R-CNN, Fast R-CNN, Faster R-CNN, YOLO - Object Detection Algorithms
, Towards Data Science, 1, p. 1",,,,"Hartley, J (2017) 
 The Emerging Markets Housing Bubble
, Huffpost, 1, p. 1",,,,"Lorenzo, R (2017) 
 BIM Bamboo: a digital design framework for bamboo culms
, ICE Publishing, London",,,,"Naik, N (2015) 
 How to use computer vision to improve cities
, Ph.D. Thesis, MIT Media Lab",,,,"Rose, J (1974) 
 The Cybernetic Revolution
, Paul Elek (Scientific Books) Ltd.",,,,"Rudofsky, B (1987) 
 Architecture without Architects: A Short Introduction to Non-Pedigreed Architecture
, University of New Mexico Press",,,,"Schröder, S (2009) 
 Bamboo Joints and Joinery Techniques
, Guadua Bamboo, 1, p. 1",,,,"van der Lugt, P (2017) 
 Booming Bamboo
, Publisher Materia, London",,,,"Witt, A (2017) 
 The Machinic Animal, When is the Digital in Architecture
, Sternberg Press",,
11,2019/08/26 20:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
